"";"SCHOOLID";"SEX";"PPED";"REPEAT";"MSESC"
"1";10101;0;1;0;NA
"2";10101;0;1;0;NA
"3";10101;0;1;0;NA
"4";10101;0;1;0;NA
"5";10101;0;1;0;NA
"6";10101;0;1;0;NA
"7";10101;0;1;0;NA
"8";10101;0;1;0;NA
"9";10101;0;1;0;NA
"10";10101;0;1;0;NA
"11";10101;0;1;0;NA
"12";10101;0;1;0;NA
"13";10101;0;1;0;NA
"14";10101;0;1;0;NA
"15";10101;0;1;0;NA
"16";10101;1;1;0;NA
"17";10101;1;1;0;NA
"18";10101;1;1;0;NA
"19";10101;1;1;0;NA
"20";10102;0;0;0;NA
"21";10102;0;1;0;NA
"22";10102;0;1;0;NA
"23";10102;0;1;0;NA
"24";10102;0;1;0;NA
"25";10102;0;1;0;NA
"26";10102;0;1;0;NA
"27";10102;0;1;0;NA
"28";10102;0;1;0;NA
"29";10102;0;1;0;NA
"30";10102;0;1;0;NA
"31";10102;1;1;0;NA
"32";10102;1;1;0;NA
"33";10102;1;1;0;NA
"34";10102;1;1;0;NA
"35";10102;1;1;0;NA
"36";10102;1;1;0;NA
"37";10102;1;1;0;NA
"38";10102;1;1;0;NA
"39";10102;1;1;0;NA
"40";10102;1;1;0;NA
"41";10102;1;1;0;NA
"42";10102;1;1;0;NA
"43";10102;1;1;0;NA
"44";10103;0;0;0;0,88
"45";10103;0;0;0;0,88
"46";10103;0;1;0;0,88
"47";10103;0;1;0;0,88
"48";10103;0;1;0;0,88
"49";10103;0;1;0;0,88
"50";10103;1;1;0;0,88
"51";10103;1;1;0;0,88
"52";10103;1;1;0;0,88
"53";10103;1;1;0;0,88
"54";10103;1;1;0;0,88
"55";10103;1;1;0;0,88
"56";10103;1;1;0;0,88
"57";10103;1;1;0;0,88
"58";10103;1;1;0;0,88
"59";10103;1;1;0;0,88
"60";10103;1;1;1;0,88
"61";10104;0;0;0;0,2
"62";10104;0;0;0;0,2
"63";10104;0;0;0;0,2
"64";10104;0;0;0;0,2
"65";10104;0;0;0;0,2
"66";10104;0;0;0;0,2
"67";10104;0;0;0;0,2
"68";10104;0;1;0;0,2
"69";10104;0;1;0;0,2
"70";10104;0;1;0;0,2
"71";10104;0;1;0;0,2
"72";10104;0;1;0;0,2
"73";10104;0;1;0;0,2
"74";10104;0;1;0;0,2
"75";10104;0;1;0;0,2
"76";10104;1;0;0;0,2
"77";10104;1;0;0;0,2
"78";10104;1;0;0;0,2
"79";10104;1;0;0;0,2
"80";10104;1;0;0;0,2
"81";10104;1;0;0;0,2
"82";10104;1;1;0;0,2
"83";10104;1;1;0;0,2
"84";10104;1;1;0;0,2
"85";10104;1;1;0;0,2
"86";10104;1;1;0;0,2
"87";10104;1;1;0;0,2
"88";10104;1;1;0;0,2
"89";10104;1;1;0;0,2
"90";10105;0;0;0;-0,07
"91";10105;0;0;0;-0,07
"92";10105;0;0;0;-0,07
"93";10105;0;1;0;-0,07
"94";10105;0;1;0;-0,07
"95";10105;0;1;0;-0,07
"96";10105;0;1;1;-0,07
"97";10105;0;1;1;-0,07
"98";10105;1;0;0;-0,07
"99";10105;1;0;0;-0,07
"100";10105;1;0;1;-0,07
"101";10105;1;1;0;-0,07
"102";10105;1;1;0;-0,07
"103";10105;1;1;0;-0,07
"104";10105;1;1;0;-0,07
"105";10105;1;1;0;-0,07
"106";10105;1;1;1;-0,07
"107";10105;1;1;1;-0,07
"108";10106;0;1;0;0,47
"109";10106;0;1;0;0,47
"110";10106;1;1;0;0,47
"111";10106;1;1;0;0,47
"112";10106;1;1;0;0,47
"113";10107;0;0;0;NA
